"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-06-04","Central","Maplehurst Correctional Complex",1,4,2
"2020-06-04","Central","Ontario Correctional Institute",,89,2
"2020-06-04","Toronto","Toronto South Detention Centre",1,7,3
"2020-06-04","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-04","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-04","Eastern","Central East Correctional Centre",1,,1
"2020-06-04","Central","Niagara Detention Centre",,,1
"2020-06-04","Western","Central North Correctional Centre",1,,
"2020-06-07","Northern","Monteith Correctional Centre",,1,
"2020-06-07","Central","Maplehurst Correctional Complex",1,4,2
"2020-06-07","Central","Ontario Correctional Institute",,89,2
"2020-06-07","Toronto","Toronto South Detention Centre",1,7,3
"2020-06-07","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-07","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-07","Eastern","Central East Correctional Centre",,1,1
"2020-06-07","Central","Niagara Detention Centre",,,1
"2020-06-07","Western","Central North Correctional Centre",1,,
"2020-06-07","Northern","Kenora Jail",2,,
"2020-06-08","Northern","Monteith Correctional Centre",,1,
"2020-06-08","Central","Maplehurst Correctional Complex",1,4,2
"2020-06-08","Central","Ontario Correctional Institute",,89,2
"2020-06-08","Toronto","Toronto South Detention Centre",2,7,3
"2020-06-08","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-08","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-08","Eastern","Central East Correctional Centre",,1,1
"2020-06-08","Central","Niagara Detention Centre",,,1
"2020-06-08","Western","Central North Correctional Centre",1,,
"2020-06-08","Northern","Kenora Jail",2,,
"2020-06-09","Northern","Monteith Correctional Centre",,1,
"2020-06-09","Central","Maplehurst Correctional Complex",2,4,2
"2020-06-09","Central","Ontario Correctional Institute",,89,2
"2020-06-09","Toronto","Toronto South Detention Centre",2,7,3
"2020-06-09","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-09","Central","Hamilton Wentworth Det Centre",,1,
