Reported_Date,Region,Institution,Total_Active_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date
5/20/2020,Central,Hamilton Wentworth Det Centre,,1,
5/20/2020,Central,Maplehurst Correctional Complex,3,,1
5/20/2020,Central,Ontario Correctional Institute,2,87,2
5/20/2020,Central,Milton-Vanier Centre For Women,1,,2
5/20/2020,Eastern,Central East Correctional Centre,1,,1
5/20/2020,Northern,Monteith Correctional Centre,,1,
5/20/2020,Toronto,Toronto South Detention Centre,6,1,2
5/21/2020,Central,Hamilton Wentworth Det Centre,,1,
5/21/2020,Central,Maplehurst Correctional Complex,5,,1
5/21/2020,Central,Ontario Correctional Institute,2,87,2
5/21/2020,Central,Milton-Vanier Centre For Women,1,,2
5/21/2020,Eastern,Central East Correctional Centre,1,,1
5/21/2020,Northern,Monteith Correctional Centre,,1,
5/21/2020,Toronto,Toronto South Detention Centre,7,1,1
5/21/2020,Central,Niagara Detention Centre,,,1
5/22/2020,Central,Hamilton Wentworth Det Centre,,1,
5/22/2020,Central,Maplehurst Correctional Complex,5,,1
5/22/2020,Central,Ontario Correctional Institute,2,87,2
5/22/2020,Central,Milton-Vanier Centre For Women,1,,2
5/22/2020,Eastern,Central East Correctional Centre,1,,1
5/22/2020,Northern,Monteith Correctional Centre,,1,
5/22/2020,Toronto,Toronto South Detention Centre,3,5,2
5/22/2020,Central,Niagara Detention Centre,,,1
5/25/2020,Central,Hamilton Wentworth Det Centre,,1,
5/25/2020,Central,Maplehurst Correctional Complex,5,,1
5/25/2020,Central,Ontario Correctional Institute,1,88,2
5/25/2020,Central,Milton-Vanier Centre For Women,1,,2
5/25/2020,Eastern,Central East Correctional Centre,1,,1
5/25/2020,Northern,Monteith Correctional Centre,,1,
5/25/2020,Toronto,Toronto South Detention Centre,3,5,2
5/25/2020,Central,Niagara Detention Centre,,,1
5/26/2020,Central,Hamilton Wentworth Det Centre,,1,
5/26/2020,Central,Maplehurst Correctional Complex,4,,2
5/26/2020,Central,Ontario Correctional Institute,1,88,2
5/26/2020,Central,Milton-Vanier Centre For Women,1,,2
5/26/2020,Eastern,Central East Correctional Centre,1,,1
5/26/2020,Northern,Monteith Correctional Centre,,1,
5/26/2020,Toronto,Toronto South Detention Centre,2,6,2
5/26/2020,Central,Niagara Detention Centre,,,1
5/27/2020,Central,Hamilton Wentworth Det Centre,,1,
5/27/2020,Central,Maplehurst Correctional Complex,4,,2
5/27/2020,Central,Ontario Correctional Institute,1,88,2
5/27/2020,Central,Milton-Vanier Centre For Women,1,,2
5/27/2020,Eastern,Central East Correctional Centre,1,,1
5/27/2020,Northern,Monteith Correctional Centre,,1,
5/27/2020,Toronto,Toronto South Detention Centre,2,6,2
5/27/2020,Central,Niagara Detention Centre,,,1
5/28/2020,Northern,Monteith Correctional Centre,,1,
5/28/2020,Central,Maplehurst Correctional Complex,4,,2
5/28/2020,Central,Ontario Correctional Institute,1,88,2
5/28/2020,Toronto,Toronto South Detention Centre,2,6,2
5/28/2020,Central,Milton-Vanier Centre For Women,1,,2
5/28/2020,Central,Hamilton Wentworth Det Centre,,1,
5/28/2020,Eastern,Central East Correctional Centre,1,,1
5/28/2020,Central,Niagara Detention Centre,,,1
5/29/2020,Northern,Monteith Correctional Centre,,1,
5/29/2020,Central,Maplehurst Correctional Complex,3,1,2
5/29/2020,Central,Ontario Correctional Institute,1,88,2
5/29/2020,Toronto,Toronto South Detention Centre,2,6,2
5/29/2020,Central,Milton-Vanier Centre For Women,1,1,2
5/29/2020,Central,Hamilton Wentworth Det Centre,,1,
5/29/2020,Eastern,Central East Correctional Centre,1,,1
5/29/2020,Central,Niagara Detention Centre,,,1
5/29/2020,Western,Central North Correctional Centre,1,,
6/1/2020,Northern,Monteith Correctional Centre,,1,
6/1/2020,Central,Maplehurst Correctional Complex,3,1,2
6/1/2020,Central,Ontario Correctional Institute,1,88,2
6/1/2020,Toronto,Toronto South Detention Centre,3,6,2
6/1/2020,Central,Milton-Vanier Centre For Women,1,1,2
6/1/2020,Central,Hamilton Wentworth Det Centre,,1,
6/1/2020,Eastern,Central East Correctional Centre,1,,1
6/1/2020,Central,Niagara Detention Centre,,,1
6/1/2020,Western,Central North Correctional Centre,1,,
6/2/2020,Northern,Monteith Correctional Centre,,1,
6/2/2020,Central,Maplehurst Correctional Complex,1,3,2
6/2/2020,Central,Ontario Correctional Institute,1,88,2
6/2/2020,Toronto,Toronto South Detention Centre,3,6,2
6/2/2020,Central,Milton-Vanier Centre For Women,1,1,2
6/2/2020,Central,Hamilton Wentworth Det Centre,,1,
6/2/2020,Eastern,Central East Correctional Centre,1,,1
6/2/2020,Central,Niagara Detention Centre,,,1
6/2/2020,Western,Central North Correctional Centre,1,,
6/3/2020,Northern,Monteith Correctional Centre,,1,
6/3/2020,Central,Maplehurst Correctional Complex,1,3,2
6/3/2020,Central,Ontario Correctional Institute,,89,2
6/3/2020,Toronto,Toronto South Detention Centre,2,6,3
6/3/2020,Central,Milton-Vanier Centre For Women,,1,3
6/3/2020,Central,Hamilton Wentworth Det Centre,,1,
6/3/2020,Eastern,Central East Correctional Centre,1,,1
6/3/2020,Central,Niagara Detention Centre,,,1
6/3/2020,Western,Central North Correctional Centre,1,,
6/4/2020,Northern,Monteith Correctional Centre,,1,
6/4/2020,Central,Maplehurst Correctional Complex,1,4,2
6/4/2020,Central,Ontario Correctional Institute,,89,2
6/4/2020,Toronto,Toronto South Detention Centre,1,7,3
6/4/2020,Central,Milton-Vanier Centre For Women,,1,3
6/4/2020,Central,Hamilton Wentworth Det Centre,,1,
6/4/2020,Eastern,Central East Correctional Centre,1,,1
6/4/2020,Central,Niagara Detention Centre,,,1
6/4/2020,Western,Central North Correctional Centre,1,,
6/7/2020,Northern,Monteith Correctional Centre,,1,
6/7/2020,Central,Maplehurst Correctional Complex,1,4,2
6/7/2020,Central,Ontario Correctional Institute,,89,2
6/7/2020,Toronto,Toronto South Detention Centre,1,7,3
6/7/2020,Central,Milton-Vanier Centre For Women,,1,3
6/7/2020,Central,Hamilton Wentworth Det Centre,,1,
6/7/2020,Eastern,Central East Correctional Centre,,1,1
6/7/2020,Central,Niagara Detention Centre,,,1
6/7/2020,Western,Central North Correctional Centre,1,,
6/7/2020,Northern,Kenora Jail,2,,
6/8/2020,Northern,Monteith Correctional Centre,,1,
6/8/2020,Central,Maplehurst Correctional Complex,1,4,2
6/8/2020,Central,Ontario Correctional Institute,,89,2
6/8/2020,Toronto,Toronto South Detention Centre,2,7,3
6/8/2020,Central,Milton-Vanier Centre For Women,,1,3
6/8/2020,Central,Hamilton Wentworth Det Centre,,1,
6/8/2020,Eastern,Central East Correctional Centre,,1,1
6/8/2020,Central,Niagara Detention Centre,,,1
6/8/2020,Western,Central North Correctional Centre,1,,
6/8/2020,Northern,Kenora Jail,2,,
6/9/2020,Northern,Monteith Correctional Centre,,1,
6/9/2020,Central,Maplehurst Correctional Complex,2,4,2
6/9/2020,Central,Ontario Correctional Institute,,89,2
6/9/2020,Toronto,Toronto South Detention Centre,2,7,3
6/9/2020,Central,Milton-Vanier Centre For Women,,1,3
6/9/2020,Central,Hamilton Wentworth Det Centre,,1,
6/9/2020,Eastern,Central East Correctional Centre,,1,1
6/9/2020,Central,Niagara Detention Centre,,,1
6/9/2020,Western,Central North Correctional Centre,1,,
6/9/2020,Northern,Kenora Jail,2,,
6/10/2020,Northern,Monteith Correctional Centre,,1,
6/10/2020,Central,Maplehurst Correctional Complex,2,4,2
6/10/2020,Central,Ontario Correctional Institute,,89,2
6/10/2020,Toronto,Toronto South Detention Centre,2,7,3
6/10/2020,Central,Milton-Vanier Centre For Women,,1,3
6/10/2020,Central,Hamilton Wentworth Det Centre,,1,
6/10/2020,Eastern,Central East Correctional Centre,,1,1
6/10/2020,Central,Niagara Detention Centre,,,1
6/10/2020,Western,Central North Correctional Centre,1,,
6/10/2020,Northern,Kenora Jail,2,,
6/11/2020,Northern,Monteith Correctional Centre,,1,
6/11/2020,Central,Maplehurst Correctional Complex,2,4,2
6/11/2020,Central,Ontario Correctional Institute,,89,2
6/11/2020,Toronto,Toronto South Detention Centre,2,7,3
6/11/2020,Central,Milton-Vanier Centre For Women,,1,3
6/11/2020,Central,Hamilton Wentworth Det Centre,,1,
6/11/2020,Eastern,Central East Correctional Centre,,1,1
6/11/2020,Central,Niagara Detention Centre,,,1
6/11/2020,Western,Central North Correctional Centre,1,,
6/11/2020,Northern,Kenora Jail,2,,
6/11/2020,Western,Elgin-Middlesex Det. Centre,1,,
6/12/2020,Northern,Monteith Correctional Centre,,1,
6/12/2020,Central,Maplehurst Correctional Complex,2,4,2
6/12/2020,Central,Ontario Correctional Institute,,89,2
6/12/2020,Toronto,Toronto South Detention Centre,1,8,3
6/12/2020,Central,Milton-Vanier Centre For Women,,1,3
6/12/2020,Central,Hamilton Wentworth Det Centre,,1,
6/12/2020,Eastern,Central East Correctional Centre,,1,1
6/12/2020,Central,Niagara Detention Centre,,,1
6/12/2020,Western,Central North Correctional Centre,,1,
6/12/2020,Northern,Kenora Jail,2,,
6/12/2020,Western,Elgin-Middlesex Det. Centre,1,,
6/15/2020,Northern,Monteith Correctional Centre,,1,
6/15/2020,Central,Maplehurst Correctional Complex,2,4,2
6/15/2020,Central,Ontario Correctional Institute,,89,2
6/15/2020,Toronto,Toronto South Detention Centre,2,8,3
6/15/2020,Central,Milton-Vanier Centre For Women,,1,3
6/15/2020,Central,Hamilton Wentworth Det Centre,,1,
6/15/2020,Eastern,Central East Correctional Centre,,1,1
6/15/2020,Central,Niagara Detention Centre,,,1
6/15/2020,Western,Central North Correctional Centre,,1,
6/15/2020,Northern,Kenora Jail,2,,
6/15/2020,Western,Elgin-Middlesex Det. Centre,1,,
6/16/2020,Northern,Monteith Correctional Centre,,1,
6/16/2020,Central,Maplehurst Correctional Complex,1,4,3
6/16/2020,Central,Ontario Correctional Institute,,89,2
6/16/2020,Toronto,Toronto South Detention Centre,,8,5
6/16/2020,Central,Milton-Vanier Centre For Women,,1,3
6/16/2020,Central,Hamilton Wentworth Det Centre,,1,
6/16/2020,Eastern,Central East Correctional Centre,,1,1
6/16/2020,Central,Niagara Detention Centre,,,1
6/16/2020,Western,Central North Correctional Centre,,1,
6/16/2020,Northern,Kenora Jail,2,,
6/16/2020,Western,Elgin-Middlesex Det. Centre,1,,
6/17/2020,Northern,Monteith Correctional Centre,,1,
6/17/2020,Central,Maplehurst Correctional Complex,1,4,3
6/17/2020,Central,Ontario Correctional Institute,,89,2
6/17/2020,Toronto,Toronto South Detention Centre,,8,5
6/17/2020,Central,Milton-Vanier Centre For Women,,1,3
6/17/2020,Central,Hamilton Wentworth Det Centre,,1,
6/17/2020,Eastern,Central East Correctional Centre,,1,1
6/17/2020,Central,Niagara Detention Centre,,,1
6/17/2020,Western,Central North Correctional Centre,,1,
6/17/2020,Northern,Kenora Jail,,2,
6/17/2020,Western,Elgin-Middlesex Det. Centre,1,,
6/18/2020,Northern,Monteith Correctional Centre,,1,
6/18/2020,Central,Maplehurst Correctional Complex,1,4,3
6/18/2020,Central,Ontario Correctional Institute,,89,2
6/18/2020,Toronto,Toronto South Detention Centre,,8,5
6/18/2020,Central,Milton-Vanier Centre For Women,,1,3
6/18/2020,Central,Hamilton Wentworth Det Centre,,1,
6/18/2020,Eastern,Central East Correctional Centre,,1,1
6/18/2020,Central,Niagara Detention Centre,,,1
6/18/2020,Western,Central North Correctional Centre,,1,
6/18/2020,Northern,Kenora Jail,,2,
6/18/2020,Western,Elgin-Middlesex Det. Centre,1,,
6/21/2020,Northern,Monteith Correctional Centre,,1,
6/21/2020,Central,Maplehurst Correctional Complex,1,4,3
6/21/2020,Central,Ontario Correctional Institute,,89,2
6/21/2020,Toronto,Toronto South Detention Centre,,8,5
6/21/2020,Central,Milton-Vanier Centre For Women,,1,3
6/21/2020,Central,Hamilton Wentworth Det Centre,,1,
6/21/2020,Eastern,Central East Correctional Centre,,1,1
