Date,"Number of Tests, Excluding LTCH","Daily % Positivity, Excluding LTCH",Number of Tests in LTCH,LTCH Daily % Positivity
2020-03-10 0:00,10,0,0,0
2020-03-11 0:00,33,3,0,0
2020-03-12 0:00,37,2.7,0,0
2020-03-13 0:00,68,2.9,1,0
2020-03-14 0:00,120,2.5,0,0
2020-03-15 0:00,99,1,0,0
2020-03-16 0:00,80,1.3,0,0
2020-03-17 0:00,129,0,4,0
2020-03-18 0:00,209,1.4,1,0
2020-03-19 0:00,108,3.7,10,0
2020-03-20 0:00,137,0.7,4,0
2020-03-21 0:00,206,1.9,3,0
2020-03-22 0:00,154,1.3,2,0
2020-03-23 0:00,144,4.2,2,0
2020-03-24 0:00,255,3.1,4,0
2020-03-25 0:00,153,5.2,2,0
2020-03-26 0:00,280,2.1,3,0
2020-03-27 0:00,572,3,5,0
2020-03-28 0:00,362,7.7,3,0
2020-03-29 0:00,199,5.5,0,0
2020-03-30 0:00,562,7.8,0,0
2020-03-31 0:00,949,6.4,0,0
2020-04-01 0:00,559,5.5,4,25
2020-04-02 0:00,102,8.8,10,0
2020-04-03 0:00,243,10.3,4,0
2020-04-04 0:00,312,2.2,3,0
2020-04-05 0:00,422,7.1,5,20
2020-04-06 0:00,237,11.4,4,25
2020-04-07 0:00,287,11.1,6,0
2020-04-08 0:00,369,3.8,6,33.3
2020-04-09 0:00,287,9.8,5,0
2020-04-10 0:00,333,9,9,0
2020-04-11 0:00,225,10.2,11,36.4
2020-04-12 0:00,227,10.1,11,54.5
2020-04-13 0:00,165,6.1,26,3.8
2020-04-14 0:00,209,6.7,18,16.7
2020-04-15 0:00,388,10.1,25,20
2020-04-16 0:00,308,3.6,10,0
2020-04-17 0:00,376,8.5,66,50
2020-04-18 0:00,421,6.2,8,0
2020-04-19 0:00,453,4.4,47,12.8
2020-04-20 0:00,325,5.2,43,2.3
2020-04-21 0:00,543,7,25,36
2020-04-22 0:00,657,2.6,121,9.9
2020-04-23 0:00,775,3.6,105,2.9
2020-04-24 0:00,517,4.1,94,10.6
2020-04-25 0:00,557,5,29,3.4
2020-04-26 0:00,358,5,81,1.2
2020-04-27 0:00,271,6.3,81,9.9
2020-04-28 0:00,503,6.2,11,27.3
2020-04-29 0:00,667,3,74,14.9
2020-04-30 0:00,605,4.3,5,40
2020-05-01 0:00,516,3.1,55,9.1
2020-05-02 0:00,507,5.1,27,3.7
2020-05-03 0:00,822,2.1,232,0.4
2020-05-04 0:00,640,1.1,24,12.5
2020-05-05 0:00,922,2.9,29,17.2
2020-05-06 0:00,599,1.7,149,1.3
2020-05-07 0:00,816,3.6,232,1.3
2020-05-08 0:00,745,0.9,132,4.5
2020-05-09 0:00,1075,1.6,178,2.8
2020-05-10 0:00,911,1.8,355,1.1
2020-05-11 0:00,489,1.2,196,1.5
2020-05-12 0:00,820,1.2,340,0.3
2020-05-13 0:00,1208,1.5,258,1.2
2020-05-14 0:00,1039,2.7,137,2.2
2020-05-15 0:00,1118,1.3,139,1.4
2020-05-16 0:00,963,1.4,25,4
2020-05-17 0:00,351,2.6,10,10
2020-05-18 0:00,377,4,17,5.9
2020-05-19 0:00,359,3.9,31,22.6
2020-05-20 0:00,676,3,36,5.6
2020-05-21 0:00,478,2.1,36,0
2020-05-22 0:00,514,0.6,14,0
2020-05-23 0:00,582,0.9,43,0
2020-05-24 0:00,332,1.5,25,4
2020-05-25 0:00,401,1.7,8,0
2020-05-26 0:00,1125,0.8,41,7.3
2020-05-27 0:00,1149,1,13,7.7
2020-05-28 0:00,1406,0.3,88,0
2020-05-29 0:00,1382,0.7,37,0
2020-05-30 0:00,1015,1.3,119,0
2020-05-31 0:00,1309,0.5,11,9.1
2020-06-01 0:00,762,0.1,20,0
2020-06-02 0:00,857,0.9,9,0
2020-06-03 0:00,1111,0.5,138,0
2020-06-04 0:00,1431,0.5,21,0
2020-06-05 0:00,1396,0.9,28,0
2020-06-06 0:00,1409,0.1,69,0
2020-06-07 0:00,870,0.2,22,0
2020-06-08 0:00,701,0.1,12,0
2020-06-09 0:00,1338,0.2,10,0
2020-06-10 0:00,1281,0.2,12,0
2020-06-11 0:00,1529,0.3,6,0
2020-06-12 0:00,1595,0.8,13,0
2020-06-13 0:00,1480,0.3,23,4.3
2020-06-14 0:00,767,0,13,0
2020-06-15 0:00,720,0.6,17,0
2020-06-16 0:00,1250,0.1,14,0
2020-06-17 0:00,1097,0.9,26,0
2020-06-18 0:00,1296,0.2,122,0
2020-06-19 0:00,1865,0.1,19,0
2020-06-20 0:00,1790,0.1,158,0
2020-06-21 0:00,1101,0.4,86,0
2020-06-22 0:00,509,0.4,10,0
2020-06-23 0:00,1252,0.2,20,0
2020-06-24 0:00,1733,0.3,24,0
2020-06-25 0:00,1796,0.3,22,4.5
2020-06-26 0:00,2026,0.2,23,0
2020-06-27 0:00,1574,0.1,80,0
2020-06-28 0:00,879,0.1,12,0
2020-06-29 0:00,855,0.4,8,0
2020-06-30 0:00,1605,0.4,11,0
2020-07-01 0:00,1601,0.3,15,0
2020-07-02 0:00,1012,0.2,12,0
2020-07-03 0:00,1331,0.3,14,0
2020-07-04 0:00,1259,0.3,40,0
2020-07-05 0:00,735,0.3,45,0
2020-07-06 0:00,602,0,11,0
2020-07-07 0:00,1271,0.4,21,0
2020-07-08 0:00,1686,0.3,39,0
2020-07-09 0:00,1503,0.3,41,0
2020-07-10 0:00,1900,0.7,14,7.1
2020-07-11 0:00,1571,0.4,25,0
2020-07-12 0:00,1068,0.8,13,0
2020-07-13 0:00,807,0.6,65,0
2020-07-14 0:00,1406,0.4,65,0
2020-07-15 0:00,1406,0.8,46,0
2020-07-16 0:00,1694,0.6,25,4
2020-07-17 0:00,1785,0.8,21,0
2020-07-18 0:00,1561,0.7,81,0
2020-07-19 0:00,2014,2.1,22,0
2020-07-20 0:00,1549,1.5,35,2.9
2020-07-21 0:00,1427,1.6,15,0
2020-07-22 0:00,1765,0.9,16,0
2020-07-23 0:00,1667,1,32,0
2020-07-24 0:00,2035,1.2,83,0
2020-07-25 0:00,2124,0.8,320,0
2020-07-26 0:00,1817,1.2,72,0
2020-07-27 0:00,1600,0.9,24,0
2020-07-28 0:00,1488,0.7,24,0
2020-07-29 0:00,2255,0.6,53,0
2020-07-30 0:00,1890,0.9,134,0
2020-07-31 0:00,2131,0.8,207,0
2020-08-01 0:00,1628,0.6,83,1.2
2020-08-02 0:00,1340,0.2,11,0
2020-08-03 0:00,1101,1.1,48,0
2020-08-04 0:00,1662,0.6,12,0
2020-08-05 0:00,1583,0.5,70,0
2020-08-06 0:00,1636,0.2,10,0
2020-08-07 0:00,1690,0,39,0
2020-08-08 0:00,1521,0.7,95,0
2020-08-09 0:00,1588,0.4,102,0
2020-08-10 0:00,1384,0.6,27,0
2020-08-11 0:00,1459,0.3,41,0
2020-08-12 0:00,1486,0.3,7,0
2020-08-13 0:00,1687,0.5,56,0
