Date,Number of Tests,Daily % Positivity,Number of Tests in LTCH,LTCH Daily % Positivity
2020-03-10 0:00,11,0,0,0
2020-03-11 0:00,32,3.1,0,0
2020-03-12 0:00,41,2.4,0,0
2020-03-13 0:00,70,4.3,1,0
2020-03-14 0:00,126,2.4,0,0
2020-03-15 0:00,107,0.9,0,0
2020-03-16 0:00,84,1.2,0,0
2020-03-17 0:00,135,0.7,4,0
2020-03-18 0:00,281,2.1,1,0
2020-03-19 0:00,188,2.1,11,0
2020-03-20 0:00,218,1.4,7,0
2020-03-21 0:00,368,1.9,3,0
2020-03-22 0:00,268,1.5,2,0
2020-03-23 0:00,205,3.4,2,0
2020-03-24 0:00,448,2.2,5,0
2020-03-25 0:00,238,5.9,2,0
2020-03-26 0:00,302,3,4,0
2020-03-27 0:00,801,3.6,7,0
2020-03-28 0:00,457,8.1,3,0
2020-03-29 0:00,253,5.1,0,0
2020-03-30 0:00,937,8.8,1,0
2020-03-31 0:00,1607,6,0,0
2020-04-01 0:00,940,6.4,5,20
2020-04-02 0:00,130,7.7,11,0
2020-04-03 0:00,257,12.5,4,0
2020-04-04 0:00,254,5.1,4,0
2020-04-05 0:00,263,10.6,4,25
2020-04-06 0:00,132,15.9,3,33.3
2020-04-07 0:00,158,14.6,5,0
2020-04-08 0:00,203,7.4,6,33.3
2020-04-09 0:00,151,16.6,3,0
2020-04-10 0:00,178,11.2,9,0
2020-04-11 0:00,119,17.6,12,33.3
2020-04-12 0:00,135,12.6,11,54.5
2020-04-13 0:00,94,10.6,26,3.8
2020-04-14 0:00,103,10.7,18,16.7
2020-04-15 0:00,208,16.8,25,20
2020-04-16 0:00,175,4,9,0
2020-04-17 0:00,226,14.2,67,50.7
2020-04-18 0:00,245,8.2,8,0
2020-04-19 0:00,247,5.7,46,13
2020-04-20 0:00,172,8.1,31,3.2
2020-04-21 0:00,307,7.2,23,30.4
2020-04-22 0:00,365,3.8,104,12.5
2020-04-23 0:00,433,4.8,60,5
2020-04-24 0:00,273,5.5,37,29.7
2020-04-25 0:00,310,8.1,20,10
2020-04-26 0:00,181,8.8,77,1.3
2020-04-27 0:00,163,9.8,74,10.8
2020-04-28 0:00,242,7.9,1,100
2020-04-29 0:00,335,6.3,41,26.8
2020-04-30 0:00,327,6.7,5,40
2020-05-01 0:00,279,5.4,55,9.1
2020-05-02 0:00,298,8.7,26,3.8
2020-05-03 0:00,452,4.6,230,0.4
2020-05-04 0:00,417,1.9,16,12.5
2020-05-05 0:00,565,4.4,29,17.2
2020-05-06 0:00,311,4.2,122,2.5
2020-05-07 0:00,457,9,159,2.5
2020-05-08 0:00,433,1.8,115,5.2
2020-05-09 0:00,638,4.4,162,3.1
2020-05-10 0:00,584,2.6,401,1.5
2020-05-11 0:00,303,4.3,200,1.5
2020-05-12 0:00,506,1.4,367,0.3
2020-05-13 0:00,771,2.5,222,1.4
2020-05-14 0:00,805,3.6,140,2.9
2020-05-15 0:00,786,2.5,153,2
2020-05-16 0:00,566,2.3,23,4.3
2020-05-17 0:00,185,5.9,12,25
2020-05-18 0:00,190,5.8,18,11.1
2020-05-19 0:00,209,7.2,32,15.6
2020-05-20 0:00,399,6.5,35,5.7
2020-05-21 0:00,263,3.8,36,2.8
2020-05-22 0:00,286,2.8,9,0
2020-05-23 0:00,295,3.4,29,0
2020-05-24 0:00,169,4.1,20,5
2020-05-25 0:00,184,4.3,5,0
2020-05-26 0:00,612,1,29,3.4
2020-05-27 0:00,611,1.1,9,11.1
2020-05-28 0:00,735,0.7,63,0
