Date,Number of Tests,Daily % Positivity,Number of Tests in LTCH,LTCH Daily % Positivity
2020-03-10 00:00:00,10,0.0,0,0.0
2020-03-11 00:00:00,33,3.0,0,0.0
2020-03-12 00:00:00,39,2.6,0,0.0
2020-03-13 00:00:00,65,3.1,1,0.0
2020-03-14 00:00:00,120,2.5,0,0.0
2020-03-15 00:00:00,100,1.0,0,0.0
2020-03-16 00:00:00,79,1.3,0,0.0
2020-03-17 00:00:00,130,0.0,4,0.0
2020-03-18 00:00:00,206,1.5,1,0.0
2020-03-19 00:00:00,115,3.5,7,0.0
2020-03-20 00:00:00,130,0.8,5,0.0
2020-03-21 00:00:00,213,1.4,4,0.0
2020-03-22 00:00:00,151,2.6,2,0.0
2020-03-23 00:00:00,142,3.5,2,0.0
2020-03-24 00:00:00,260,2.7,2,0.0
2020-03-25 00:00:00,152,5.9,2,0.0
2020-03-26 00:00:00,276,1.8,4,0.0
2020-03-27 00:00:00,576,3.5,4,0.0
2020-03-28 00:00:00,360,7.2,3,0.0
2020-03-29 00:00:00,200,6.0,0,0.0
2020-03-30 00:00:00,559,6.8,1,0.0
2020-03-31 00:00:00,949,6.8,0,0.0
2020-04-01 00:00:00,557,5.7,4,25.0
2020-04-02 00:00:00,103,8.7,9,0.0
2020-04-03 00:00:00,241,10.0,5,0.0
2020-04-04 00:00:00,316,2.5,3,0.0
2020-04-05 00:00:00,420,6.9,5,20.0
2020-04-06 00:00:00,234,11.5,4,25.0
2020-04-07 00:00:00,290,11.0,7,0.0
2020-04-08 00:00:00,368,4.1,6,33.3
2020-04-09 00:00:00,285,9.8,5,0.0
2020-04-10 00:00:00,331,9.1,8,0.0
2020-04-11 00:00:00,226,10.2,11,36.4
2020-04-12 00:00:00,227,10.1,12,50.0
2020-04-13 00:00:00,164,5.5,26,3.8
2020-04-14 00:00:00,208,6.3,18,16.7
2020-04-15 00:00:00,391,10.2,24,20.8
2020-04-16 00:00:00,310,3.5,11,0.0
2020-04-17 00:00:00,377,8.8,66,50.0
2020-04-18 00:00:00,423,6.1,8,0.0
2020-04-19 00:00:00,451,4.4,47,12.8
2020-04-20 00:00:00,325,5.2,43,2.3
2020-04-21 00:00:00,543,7.0,25,36.0
2020-04-22 00:00:00,655,2.4,122,10.7
2020-04-23 00:00:00,777,3.6,105,2.9
2020-04-24 00:00:00,516,4.1,94,10.6
2020-04-25 00:00:00,557,5.0,29,3.4
2020-04-26 00:00:00,358,5.0,81,1.2
2020-04-27 00:00:00,269,6.3,80,10.0
2020-04-28 00:00:00,502,6.0,11,27.3
2020-04-29 00:00:00,666,3.0,74,14.9
2020-04-30 00:00:00,605,4.5,6,33.3
2020-05-01 00:00:00,515,3.1,55,9.1
2020-05-02 00:00:00,511,5.1,27,3.7
2020-05-03 00:00:00,827,2.1,232,0.4
2020-05-04 00:00:00,634,1.1,24,12.5
2020-05-05 00:00:00,922,2.9,29,17.2
2020-05-06 00:00:00,599,1.7,149,1.3
2020-05-07 00:00:00,808,3.6,235,1.3
2020-05-08 00:00:00,734,1.0,133,4.5
2020-05-09 00:00:00,1080,1.6,177,2.8
2020-05-10 00:00:00,910,1.8,342,1.2
2020-05-11 00:00:00,500,1.0,194,1.5
2020-05-12 00:00:00,820,1.3,348,0.3
2020-05-13 00:00:00,1212,1.5,253,1.2
2020-05-14 00:00:00,1038,2.7,135,2.2
2020-05-15 00:00:00,1124,1.2,144,1.4
2020-05-16 00:00:00,964,1.3,25,4.0
2020-05-17 00:00:00,353,2.5,10,10.0
2020-05-18 00:00:00,376,4.0,17,5.9
2020-05-19 00:00:00,359,3.9,31,22.6
2020-05-20 00:00:00,675,3.0,36,5.6
2020-05-21 00:00:00,477,2.1,36,0.0
2020-05-22 00:00:00,517,0.6,14,0.0
2020-05-23 00:00:00,580,0.9,43,0.0
2020-05-24 00:00:00,332,1.5,25,4.0
2020-05-25 00:00:00,402,1.7,8,0.0
2020-05-26 00:00:00,1125,0.8,41,7.3
2020-05-27 00:00:00,1150,1.0,13,7.7
2020-05-28 00:00:00,1400,0.3,88,0.0
2020-05-29 00:00:00,1386,0.6,37,0.0
2020-05-30 00:00:00,1018,1.3,119,0.0
2020-05-31 00:00:00,1308,0.5,11,9.1
2020-06-01 00:00:00,762,0.1,20,0.0
2020-06-02 00:00:00,858,1.0,9,0.0
2020-06-03 00:00:00,1111,0.4,139,0.0
2020-06-04 00:00:00,1430,0.6,20,0.0
2020-06-05 00:00:00,1395,0.9,30,0.0
2020-06-06 00:00:00,1408,0.1,69,0.0
2020-06-07 00:00:00,870,0.2,22,0.0
2020-06-08 00:00:00,701,0.1,12,0.0
2020-06-09 00:00:00,1338,0.2,10,0.0
2020-06-10 00:00:00,1281,0.2,12,0.0
2020-06-11 00:00:00,1528,0.3,6,0.0
2020-06-12 00:00:00,1596,0.8,13,0.0
2020-06-13 00:00:00,1480,0.3,23,4.3
2020-06-14 00:00:00,767,0.0,13,0.0
2020-06-15 00:00:00,720,0.6,17,0.0
2020-06-16 00:00:00,1250,0.1,14,0.0
