Date,Number of Tests,Daily % Positivity,Number of Tests in LTCH,LTCH Daily % Positivity
2020-03-10 0:00,10,0,0,0
2020-03-11 0:00,34,2.9,0,0
2020-03-12 0:00,39,2.6,0,0
2020-03-13 0:00,64,3.1,1,0
2020-03-14 0:00,117,1.7,0,0
2020-03-15 0:00,102,1,0,0
2020-03-16 0:00,77,1.3,0,0
2020-03-17 0:00,132,0,4,0
2020-03-18 0:00,211,2.4,1,0
2020-03-19 0:00,109,2.8,7,0
2020-03-20 0:00,140,0.7,4,0
2020-03-21 0:00,210,1.4,3,0
2020-03-22 0:00,153,3.3,2,0
2020-03-23 0:00,140,2.9,2,0
2020-03-24 0:00,257,3.1,4,0
2020-03-25 0:00,155,5.2,2,0
2020-03-26 0:00,278,2.2,3,0
2020-03-27 0:00,571,3.2,5,0
2020-03-28 0:00,363,7.7,3,0
2020-03-29 0:00,197,5.1,0,0
2020-03-30 0:00,566,8.1,0,0
2020-03-31 0:00,942,5.8,0,0
2020-04-01 0:00,564,6,4,25
2020-04-02 0:00,99,9.1,10,0
2020-04-03 0:00,245,10.2,4,0
2020-04-04 0:00,312,2.2,3,0
2020-04-05 0:00,421,6.7,5,20
2020-04-06 0:00,234,12,4,25
2020-04-07 0:00,287,10.5,7,0
2020-04-08 0:00,370,4.6,6,33.3
2020-04-09 0:00,288,9.7,5,0
2020-04-10 0:00,331,9.1,8,0
2020-04-11 0:00,226,10.2,11,36.4
2020-04-12 0:00,227,10.1,11,54.5
2020-04-13 0:00,165,6.1,26,3.8
2020-04-14 0:00,206,5.8,18,16.7
2020-04-15 0:00,393,10.4,25,20
2020-04-16 0:00,307,3.6,11,0
2020-04-17 0:00,373,8.6,66,50
2020-04-18 0:00,422,6.2,8,0
2020-04-19 0:00,452,4.4,47,12.8
2020-04-20 0:00,325,5.2,43,2.3
2020-04-21 0:00,543,7,25,36
2020-04-22 0:00,656,2.4,122,10.7
2020-04-23 0:00,775,3.6,105,2.9
2020-04-24 0:00,518,4.1,94,10.6
2020-04-25 0:00,557,5,28,3.6
2020-04-26 0:00,359,5,81,1.2
2020-04-27 0:00,268,6.3,81,9.9
2020-04-28 0:00,504,6.3,11,27.3
2020-04-29 0:00,667,3.1,74,14.9
2020-04-30 0:00,604,4,5,40
2020-05-01 0:00,517,3.3,55,9.1
2020-05-02 0:00,506,4.7,27,3.7
2020-05-03 0:00,823,2.2,232,0.4
2020-05-04 0:00,640,1.1,24,12.5
2020-05-05 0:00,923,2.9,29,17.2
2020-05-06 0:00,597,1.7,149,1.3
2020-05-07 0:00,809,3.6,235,1.3
2020-05-08 0:00,736,1,132,4.5
2020-05-09 0:00,1078,1.6,182,2.7
2020-05-10 0:00,914,1.8,352,1.1
2020-05-11 0:00,492,1,184,1.6
2020-05-12 0:00,824,1.3,349,0.3
2020-05-13 0:00,1205,1.5,252,1.2
2020-05-14 0:00,1036,2.8,135,2.2
2020-05-15 0:00,1130,1.2,143,1.4
2020-05-16 0:00,963,1.4,25,4
2020-05-17 0:00,353,2.5,10,10
2020-05-18 0:00,376,4,17,5.9
2020-05-19 0:00,359,3.9,31,22.6
2020-05-20 0:00,676,3,36,5.6
2020-05-21 0:00,478,2.1,36,0
2020-05-22 0:00,514,0.6,14,0
2020-05-23 0:00,582,0.9,43,0
2020-05-24 0:00,331,1.5,25,4
2020-05-25 0:00,399,1.8,8,0
2020-05-26 0:00,1126,0.8,41,7.3
2020-05-27 0:00,1151,1,13,7.7
2020-05-28 0:00,1401,0.3,88,0
2020-05-29 0:00,1391,0.6,37,0
2020-05-30 0:00,1012,1.3,119,0
2020-05-31 0:00,1308,0.5,11,9.1
2020-06-01 0:00,763,0.1,20,0
2020-06-02 0:00,858,1,9,0
2020-06-03 0:00,1112,0.4,137,0
2020-06-04 0:00,1432,0.6,20,0
2020-06-05 0:00,1392,0.9,29,0
2020-06-06 0:00,1405,0.1,68,0
2020-06-07 0:00,872,0.2,22,0
2020-06-08 0:00,701,0.1,12,0
2020-06-09 0:00,1336,0.2,10,0
2020-06-10 0:00,1282,0.2,12,0
2020-06-11 0:00,1528,0.3,6,0
2020-06-12 0:00,1595,0.8,13,0
2020-06-13 0:00,1480,0.3,23,4.3
2020-06-14 0:00,767,0,13,0
2020-06-15 0:00,721,0.6,17,0
2020-06-16 0:00,1250,0.1,14,0
2020-06-17 0:00,1097,0.9,26,0
2020-06-18 0:00,1299,0.2,121,0
2020-06-19 0:00,1863,0.1,20,0
2020-06-20 0:00,1790,0.1,158,0
2020-06-21 0:00,1102,0.4,86,0
2020-06-22 0:00,506,0.4,10,0
