Date,"Number of Tests, Excluding LTCH","Daily % Positivity, Excluding LTCH",Number of Tests in LTCH,LTCH Daily % Positivity
2020-08-18 00:00:00,1888,0.6,77,5.2
2020-08-19 00:00:00,1521,1.2,25,4.0
2020-08-20 00:00:00,1606,1.0,103,0.0
2020-08-21 00:00:00,1802,0.7,116,0.9
2020-08-22 00:00:00,1865,0.6,73,0.0
2020-08-23 00:00:00,680,1.8,5,0.0
2020-08-24 00:00:00,1132,1.0,58,0.0
2020-08-25 00:00:00,1648,1.5,73,0.0
2020-08-26 00:00:00,1826,0.5,39,0.0
2020-08-27 00:00:00,1464,0.7,8,0.0
2020-08-28 00:00:00,2128,0.6,35,0.0
2020-08-29 00:00:00,1781,0.7,11,9.1
2020-08-30 00:00:00,1394,0.4,32,0.0
2020-08-31 00:00:00,1372,0.5,53,0.0
2020-09-01 00:00:00,1355,1.5,22,9.1
2020-09-02 00:00:00,1527,0.3,50,0.0
2020-09-03 00:00:00,1478,0.9,133,0.8
2020-09-04 00:00:00,2701,0.8,258,0.8
2020-09-05 00:00:00,2251,0.4,163,0.0
2020-09-06 00:00:00,1281,0.6,190,3.2
2020-09-07 00:00:00,1290,1.5,44,0.0
2020-09-08 00:00:00,1093,1.1,4,0.0
2020-09-09 00:00:00,1590,1.6,29,0.0
2020-09-10 00:00:00,1939,1.3,60,0.0
2020-09-11 00:00:00,2294,1.6,93,7.5
2020-09-12 00:00:00,1897,1.7,26,0.0
2020-09-13 00:00:00,1182,1.5,44,0.0
2020-09-14 00:00:00,2389,1.5,219,4.1
2020-09-15 00:00:00,2960,1.2,28,0.0
2020-09-16 00:00:00,1884,2.0,161,0.6
2020-09-17 00:00:00,2505,1.9,208,0.5
2020-09-18 00:00:00,2387,1.3,281,2.1
2020-09-19 00:00:00,2091,2.2,160,0.0
2020-09-20 00:00:00,2822,1.9,110,0.0
2020-09-21 00:00:00,2941,1.9,70,0.0
2020-09-22 00:00:00,2503,1.4,60,3.3
2020-09-23 00:00:00,1888,1.7,7,57.1
2020-09-24 00:00:00,2724,1.3,55,0.0
2020-09-25 00:00:00,3287,1.3,59,3.4
2020-09-26 00:00:00,3438,3.0,12,0.0
2020-09-27 00:00:00,2682,3.3,13,0.0
2020-09-28 00:00:00,3139,2.6,192,1.0
2020-09-29 00:00:00,2151,2.6,76,2.6
2020-09-30 00:00:00,3052,3.1,109,1.8
2020-10-01 00:00:00,3822,2.3,118,0.8
2020-10-02 00:00:00,3356,2.2,199,0.0
2020-10-03 00:00:00,3095,3.0,482,1.0
2020-10-04 00:00:00,3074,2.9,101,0.0
2020-10-05 00:00:00,3725,1.9,218,0.9
2020-10-06 00:00:00,2145,1.9,56,0.0
2020-10-07 00:00:00,2267,3.1,76,0.0
2020-10-08 00:00:00,2433,2.8,181,0.0
2020-10-09 00:00:00,2494,2.1,246,0.8
2020-10-10 00:00:00,2617,3.0,20,0.0
2020-10-11 00:00:00,2621,2.4,219,1.8
2020-10-12 00:00:00,1973,1.5,237,1.3
2020-10-13 00:00:00,2084,3.1,16,0.0
2020-10-14 00:00:00,3002,2.9,111,3.6
2020-10-15 00:00:00,2083,2.2,104,1.0
2020-10-16 00:00:00,3116,2.1,279,0.4
2020-10-17 00:00:00,3033,2.2,149,0.0
2020-10-18 00:00:00,1136,2.7,37,5.4
2020-10-19 00:00:00,1332,3.8,27,0.0
2020-10-20 00:00:00,1596,2.5,47,2.1
2020-10-21 00:00:00,2256,3.1,446,0.9
2020-10-22 00:00:00,2239,2.8,88,1.1
2020-10-23 00:00:00,2759,2.4,62,1.6
2020-10-24 00:00:00,2362,2.1,191,0.0
2020-10-25 00:00:00,1742,3.1,69,0.0
2020-10-26 00:00:00,993,3.9,120,1.7
2020-10-27 00:00:00,1354,3.0,116,0.0
2020-10-28 00:00:00,1876,4.1,167,1.8
2020-10-29 00:00:00,2189,2.9,93,0.0
2020-10-30 00:00:00,2793,3.6,95,6.3
2020-10-31 00:00:00,2323,2.8,321,0.0
2020-11-01 00:00:00,1705,2.5,99,0.0
2020-11-02 00:00:00,1022,1.9,14,7.1
2020-11-03 00:00:00,1458,2.2,13,0.0
2020-11-04 00:00:00,1442,2.8,297,0.3
2020-11-05 00:00:00,2522,2.4,39,0.0
2020-11-06 00:00:00,2317,2.5,115,2.6
2020-11-07 00:00:00,2493,2.8,135,0.0
2020-11-08 00:00:00,1158,2.1,88,1.1
2020-11-09 00:00:00,709,2.1,20,10.0
2020-11-10 00:00:00,1369,3.4,17,0.0
2020-11-11 00:00:00,2353,2.5,241,2.9
2020-11-12 00:00:00,2297,2.1,198,0.5
2020-11-13 00:00:00,2705,2.2,199,0.0
2020-11-14 00:00:00,1691,1.6,242,1.7
2020-11-15 00:00:00,945,1.6,297,0.7
