Date,Number of Tests,Daily % Positivity,Number of Tests in LTCH,LTCH Daily % Positivity
2020-03-10 0:00,10,0,0,0
2020-03-11 0:00,34,2.9,0,0
2020-03-12 0:00,39,2.6,0,0
2020-03-13 0:00,65,3.1,1,0
2020-03-14 0:00,122,2.5,0,0
2020-03-15 0:00,95,1.1,0,0
2020-03-16 0:00,81,1.2,0,0
2020-03-17 0:00,128,0,4,0
2020-03-18 0:00,208,1.9,1,0
2020-03-19 0:00,118,2.5,8,0
2020-03-20 0:00,128,0.8,6,0
2020-03-21 0:00,208,1.4,3,0
2020-03-22 0:00,151,2.6,2,0
2020-03-23 0:00,143,4.2,2,0
2020-03-24 0:00,254,1.6,4,0
2020-03-25 0:00,155,5.8,2,0
2020-03-26 0:00,278,2.2,4,0
2020-03-27 0:00,569,3,4,0
2020-03-28 0:00,367,8.4,3,0
2020-03-29 0:00,196,4.6,0,0
2020-03-30 0:00,565,7.3,0,0
2020-03-31 0:00,939,6.6,0,0
2020-04-01 0:00,571,5.8,4,25
2020-04-02 0:00,99,9.1,9,0
2020-04-03 0:00,241,10.4,4,0
2020-04-04 0:00,313,2.6,3,0
2020-04-05 0:00,421,6.7,5,20
2020-04-06 0:00,234,11.5,4,25
2020-04-07 0:00,287,10.8,7,0
2020-04-08 0:00,370,4.3,6,33.3
2020-04-09 0:00,289,9.7,5,0
2020-04-10 0:00,330,8.8,8,0
2020-04-11 0:00,226,10.6,11,36.4
2020-04-12 0:00,227,10.1,12,50
2020-04-13 0:00,166,6,26,3.8
2020-04-14 0:00,206,6.3,18,16.7
2020-04-15 0:00,391,10,24,20.8
2020-04-16 0:00,310,3.9,11,0
2020-04-17 0:00,374,8.6,66,50
2020-04-18 0:00,422,6.2,8,0
2020-04-19 0:00,452,4.4,47,12.8
2020-04-20 0:00,325,5.2,43,2.3
2020-04-21 0:00,543,7,25,36
2020-04-22 0:00,656,2.6,121,9.9
2020-04-23 0:00,775,3.6,105,2.9
2020-04-24 0:00,518,4.1,94,10.6
2020-04-25 0:00,557,5,28,3.6
2020-04-26 0:00,358,5,81,1.2
2020-04-27 0:00,269,6.3,80,10
2020-04-28 0:00,504,6.3,11,27.3
2020-04-29 0:00,665,2.9,74,14.9
2020-04-30 0:00,606,4.3,6,33.3
2020-05-01 0:00,517,3.3,55,9.1
2020-05-02 0:00,507,4.9,27,3.7
2020-05-03 0:00,822,2.1,233,0.4
2020-05-04 0:00,637,1.1,24,12.5
2020-05-05 0:00,924,2.9,29,17.2
2020-05-06 0:00,598,1.7,149,1.3
2020-05-07 0:00,808,3.5,235,1.7
2020-05-08 0:00,732,1,132,4.5
2020-05-09 0:00,1081,1.6,179,2.8
2020-05-10 0:00,922,1.7,341,1.2
2020-05-11 0:00,495,1.2,198,1.5
2020-05-12 0:00,807,1.2,344,0.3
2020-05-13 0:00,1215,1.5,258,1.2
2020-05-14 0:00,1037,2.8,142,2.1
2020-05-15 0:00,1125,1.2,144,1.4
2020-05-16 0:00,964,1.3,25,4
2020-05-17 0:00,352,2.6,10,10
2020-05-18 0:00,377,4,17,5.9
2020-05-19 0:00,358,3.9,31,22.6
2020-05-20 0:00,675,3,36,5.6
2020-05-21 0:00,479,2.1,36,0
2020-05-22 0:00,515,0.6,14,0
2020-05-23 0:00,581,0.9,43,0
2020-05-24 0:00,331,1.5,25,4
2020-05-25 0:00,401,1.7,8,0
2020-05-26 0:00,1124,0.8,41,7.3
2020-05-27 0:00,1148,1,13,7.7
2020-05-28 0:00,1403,0.3,88,0
2020-05-29 0:00,1380,0.7,37,0
2020-05-30 0:00,1019,1.3,119,0
2020-05-31 0:00,1310,0.5,11,9.1
2020-06-01 0:00,763,0.1,20,0
2020-06-02 0:00,858,1,9,0
2020-06-03 0:00,1112,0.5,138,0
2020-06-04 0:00,1432,0.5,21,0
2020-06-05 0:00,1393,0.9,28,0
2020-06-06 0:00,1409,0.1,69,0
2020-06-07 0:00,872,0.2,22,0
2020-06-08 0:00,702,0.1,12,0
2020-06-09 0:00,1337,0.2,10,0
2020-06-10 0:00,1281,0.2,12,0
2020-06-11 0:00,1530,0.3,6,0
2020-06-12 0:00,1596,0.8,13,0
2020-06-13 0:00,1477,0.3,23,4.3
2020-06-14 0:00,767,0,13,0
2020-06-15 0:00,720,0.6,17,0
2020-06-16 0:00,1250,0.1,14,0
2020-06-17 0:00,1099,0.9,26,0
2020-06-18 0:00,1298,0.2,122,0
2020-06-19 0:00,1861,0.1,19,0
2020-06-20 0:00,1790,0.1,158,0
2020-06-21 0:00,1101,0.4,86,0
2020-06-22 0:00,506,0.4,10,0
