Timestamp,Site,Cyclists-Northbound,Cyclists-Southbound,Cyclists-Eastbound,Cyclists-Westbound,Cyclists-Total,Pedestrians-Northbound,Pedestrians-Southbound,Pedestrians-Eastbound,Pedestrians-Westbound,Pedestrians-Total,All-Northbound,All-Southbound,All-Eastbound,All-Westbound,All-Total,Location
05/12/2020 10:00:00 AM,B - Kilkenny & N of Prestwood,0,1,,,1,3,6,,,9,3,7,,,10,POINT (-97.1367 49.7926)
05/14/2020 09:00:00 PM,B - Assiniboine & E of Rouge,,,0,5,5,,,3,1,4,,,3,6,9,POINT (-97.3003 49.8657)
05/06/2020 01:30:00 PM,C - Kildonan & N of Helmsdale,5,4,,,9,3,3,,,6,8,7,,,15,POINT (-97.1088 49.930400000000006)
05/06/2020 10:45:00 AM,B - Scotia & N of Seven Oaks,8,3,,,11,1,2,,,3,9,5,,,14,POINT (-97.1135 49.9313)
05/06/2020 07:15:00 PM,A - Kildonan & N of Irving,7,6,,,13,12,5,,,17,19,11,,,30,POINT (-97.0941 49.9444)
05/06/2020 02:30:00 AM,B - Wolseley & E of Garfield,,,1,0,1,,,0,0,0,,,1,0,1,POINT (-97.177 49.8796)
04/29/2020 06:15:00 PM,B - Wellington & W of Oak,,,71,58,129,,,28,30,58,,,99,88,187,POINT (-97.18031 49.876514)
04/30/2020 08:15:00 PM,A - Lyndale & S of Cromwell,3,15,,,18,4,5,,,9,7,20,,,27,POINT (-97.130648 49.88053200000001)
05/05/2020 04:00:00 PM,B - Wolseley & E of Garfield,,,14,20,34,,,20,17,37,,,34,37,71,POINT (-97.177 49.8796)
04/30/2020 01:45:00 AM,B - Wellington & W of Oak,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.18031 49.876514)
05/06/2020 12:15:00 AM,B - Wolseley & E of Garfield,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.177 49.8796)
05/06/2020 03:15:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
05/06/2020 05:00:00 PM,C - Kildonan & N of Helmsdale,11,1,,,12,8,11,,,19,19,12,,,31,POINT (-97.1088 49.930400000000006)
05/06/2020 08:45:00 AM,B - Scotia & N of Seven Oaks,1,2,,,3,2,4,,,6,3,6,,,9,POINT (-97.1135 49.9313)
04/30/2020 06:45:00 AM,B - Wellington & W of Oak,,,3,6,9,,,6,3,9,,,9,9,18,POINT (-97.18031 49.876514)
05/12/2020 05:30:00 PM,B - Churchill & E of Eccles S,,,7,2,9,,,5,3,8,,,12,5,17,POINT (-97.116 49.8636)
05/06/2020 08:00:00 PM,C - Kildonan & N of Helmsdale,2,2,,,4,9,8,,,17,11,10,,,21,POINT (-97.1088 49.930400000000006)
05/14/2020 08:45:00 PM,C - Assiniboine & W of Westwood,,,0,0,0,,,4,5,9,,,4,5,9,POINT (-97.2922 49.8654)
05/01/2020 09:15:00 AM,B - Lyndale & S of Highfield,5,4,,,9,3,6,,,9,8,10,,,18,POINT (-97.135257 49.875265)
05/15/2020 07:30:00 AM,B - Egerton & N of Clonard,1,1,,,2,1,0,,,1,2,1,,,3,POINT (-97.1 49.8666)
05/06/2020 05:15:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
04/30/2020 09:45:00 PM,B - Lyndale & S of Highfield,0,2,,,2,9,1,,,10,9,3,,,12,POINT (-97.135257 49.875265)
05/06/2020 07:45:00 PM,A - Kildonan & N of Irving,5,3,,,8,14,4,,,18,19,7,,,26,POINT (-97.0941 49.9444)
05/14/2020 01:30:00 PM,B - Egerton & N of Clonard,0,0,,,0,0,2,,,2,0,2,,,2,POINT (-97.1 49.8666)
05/15/2020 12:45:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1 49.8666)
05/12/2020 08:45:00 PM,B - Kilkenny & N of Prestwood,4,0,,,4,0,2,,,2,4,2,,,6,POINT (-97.1367 49.7926)
05/14/2020 12:30:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,2,2,4,,,2,2,4,POINT (-97.3003 49.8657)
