Timestamp,Site,Cyclists-Northbound,Cyclists-Southbound,Cyclists-Eastbound,Cyclists-Westbound,Cyclists-Total,Pedestrians-Northbound,Pedestrians-Southbound,Pedestrians-Eastbound,Pedestrians-Westbound,Pedestrians-Total,All-Northbound,All-Southbound,All-Eastbound,All-Westbound,All-Total,Location
05/06/2020 11:15:00 AM,B - Scotia & N of Seven Oaks,3,4,,,7,9,3,,,12,12,7,,,19,POINT (-97.1135 49.9313)
05/12/2020 01:30:00 PM,B - Churchill & E of Eccles S,,,1,4,5,,,4,5,9,,,5,9,14,POINT (-97.116 49.8636)
04/30/2020 08:00:00 PM,C - Lyndale & W of Gauvin,11,5,,,16,6,6,,,12,17,11,,,28,POINT (-97.118064 49.872058)
04/30/2020 12:15:00 PM,B - Lyndale & S of Highfield,5,2,,,7,16,10,,,26,21,12,,,33,POINT (-97.135257 49.875265)
05/12/2020 10:15:00 AM,B - Kilkenny & N of Prestwood,1,0,,,1,2,1,,,3,3,1,,,4,POINT (-97.1367 49.7926)
04/30/2020 12:30:00 PM,B - Lyndale & S of Highfield,2,11,,,13,14,7,,,21,16,18,,,34,POINT (-97.135257 49.875265)
05/05/2020 02:15:00 PM,B - Wolseley & E of Garfield,,,16,11,27,,,15,6,21,,,31,17,48,POINT (-97.177 49.8796)
05/06/2020 08:15:00 AM,C - Kildonan & N of Helmsdale,0,1,,,1,5,5,,,10,5,6,,,11,POINT (-97.1088 49.930400000000006)
05/14/2020 08:15:00 PM,C - Assiniboine & W of Westwood,,,0,2,2,,,3,5,8,,,3,7,10,POINT (-97.2922 49.8654)
05/01/2020 08:15:00 AM,B - Lyndale & S of Highfield,0,1,,,1,7,4,,,11,7,5,,,12,POINT (-97.135257 49.875265)
05/12/2020 09:45:00 PM,B - Kilkenny & N of Prestwood,2,0,,,2,0,0,,,0,2,0,,,2,POINT (-97.1367 49.7926)
05/15/2020 09:30:00 AM,B - Egerton & N of Clonard,2,0,,,2,7,1,,,8,9,1,,,10,POINT (-97.1 49.8666)
05/01/2020 04:15:00 AM,B - Lyndale & S of Highfield,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.135257 49.875265)
05/15/2020 09:45:00 AM,B - Assiniboine & E of Rouge,,,0,1,1,,,2,1,3,,,2,2,4,POINT (-97.3003 49.8657)
05/15/2020 08:45:00 AM,B - Egerton & N of Clonard,0,1,,,1,2,0,,,2,2,1,,,3,POINT (-97.1 49.8666)
05/14/2020 01:15:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,3,0,3,,,3,0,3,POINT (-97.3003 49.8657)
05/06/2020 07:45:00 AM,B - Wolseley & E of Garfield,,,4,1,5,,,4,9,13,,,8,10,18,POINT (-97.177 49.8796)
04/30/2020 05:45:00 AM,B - Wellington & W of Oak,,,0,2,2,,,1,0,1,,,1,2,3,POINT (-97.18031 49.876514)
05/05/2020 01:15:00 PM,B - Scotia & N of Seven Oaks,4,11,,,15,1,0,,,1,5,11,,,16,POINT (-97.1135 49.9313)
05/12/2020 08:15:00 AM,B - Kilkenny & N of Prestwood,1,0,,,1,0,0,,,0,1,0,,,1,POINT (-97.1367 49.7926)
04/30/2020 05:15:00 PM,B - Lyndale & S of Highfield,6,10,,,16,11,7,,,18,17,17,,,34,POINT (-97.135257 49.875265)
