Date,Cumulative Cases by Episode Date,Cumulative Resolved Cases by Episode Date,Cumulative Active Cases by Episode Date,Cumulative Deaths by Date of Death,Daily Cases by Reported Date,7-day Average of Newly Reported cases by Reported Date,Daily Cases by Episode Date,Daily Cases Linked to a Community Outbreak by Episode Date,Daily Cases Linked to an Institutional Outbreak by Episode Date,Daily Cases Not Linked to an Outbreak (i.e. Sporadic Cases) by Episode Date,Cases Newly Admitted to Hospital,Cases Currently in Hospital,Cases Currently in ICU,"Cumulative Rate for 0-9 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 10-19 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 20-29 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 30-39 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 40-49 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 50-59 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 60-69 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 70-79 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 80-89 Years (per 100,000 pop) by Episode Date","Cumulative Rate for 90 Years and Over (per 100,000 pop) by Episode Date","Cumulative Rate for Males (per 100,000 pop) by Episode Date","Cumulative Rate for Females (per 100,000 pop) by Episode Date",Source of Infection is Close Contact by Episode Date,Source of Infection is Missing by Episode Date,Source of Infection is an Outbreak by Episode Date,Source of Infection is Travel by Episode Date,Source of Infection is Unknown by Episode Date,Sum of Non-Institutional Source of Infection Over the Last 14 Days,% No Known Source for Cases with Non-Institutional Source of Infection Over the Last 14 Days
2020-09-26 00:00:00,4063,3207,575,281,42,60.42857142857143,1,0,0,1,,16,3,202.7770452747493,317.0173873881826,513.3190503907169,356.37783633158324,391.64781367058566,358.404990485456,310.31089956522794,339.1351394148931,951.1031604054849,2475.1356238697995,402.09308730377325,485.8805283482344,0,1,0,0,0,488,10.655737704918032
2020-09-25 00:00:00,4062,3144,637,281,56,61.142857142857146,2,0,0,2,,16,3,202.7770452747493,317.0173873881826,513.3190503907169,355.74596073525066,391.64781367058566,358.404990485456,310.31089956522794,339.1351394148931,951.1031604054849,2475.1356238697995,402.09308730377325,485.67235331466617,0,2,0,0,0,527,12.144212523719165
2020-09-24 00:00:00,4060,3085,695,280,37,60.42857142857143,23,0,0,23,2,17,3,202.7770452747493,317.0173873881826,513.3190503907169,355.74596073525066,390.9060564477247,358.404990485456,309.4699486178967,339.1351394148931,951.1031604054849,2475.1356238697995,402.09308730377325,485.25600324752975,0,23,0,0,0,552,12.862318840579709
2020-09-23 00:00:00,4037,3008,749,280,64,63.857142857142854,27,0,5,22,1,15,3,201.86773117037822,315.25127380941836,508.3654286740394,353.2184583499203,390.1642992248638,356.2588528178784,308.62899767056547,337.815547432734,948.1216457960634,2463.833634719709,399.44918755163883,482.9660778782793,0,22,5,0,0,583,14.751286449399656
2020-09-22 00:00:00,4010,2960,770,280,89,60.714285714285715,73,0,11,62,2,15,3,199.139788857265,315.25127380941836,504.65021238653117,349.4272047719247,387.9390275562809,353.397335927775,306.10614482857176,337.815547432734,948.1216457960634,2463.833634719709,397.46626273753805,479.6352773411877,2,59,11,0,1,592,15.54054054054054
2020-09-21 00:00:00,3937,2916,741,280,57,54.285714285714285,56,0,6,50,1,13,3,193.68390423103855,309.9529330731256,492.88536080942185,341.84469761593357,379.7796981048104,345.5281644799905,302.7423410392468,336.49595545057485,942.1586165772202,2463.833634719709,390.19553841916843,472.7655012334363,2,48,6,0,0,569,17.75043936731107
2020-09-20 00:00:00,3881,2881,722,278,78,54.57142857142857,33,0,2,31,2,12,2,186.40939139606996,305.537649126215,481.7397119468972,337.4215684416054,373.10388309906176,343.3820268124129,301.9013900919156,336.49595545057485,936.195587358377,2429.9276672694377,384.246763976866,466.936600293526,2,25,2,1,3,552,19.92753623188406
2020-09-19 00:00:00,3848,2868,704,276,47,47.857142857142854,49,0,4,45,,11,2,184.5907631873278,302.0054219686865,472.4516712281267,335.5259416526076,370.13685420761794,341.2358891448353,301.06043914458434,336.49595545057485,936.195587358377,2429.9276672694377,380.94188928669803,463.39762472286617,13,28,4,0,4,539,20.59369202226345
2020-09-18 00:00:00,3799,2850,674,275,51,47.857142857142854,70,0,7,63,,12,2,178.2255644567303,297.5901380217759,461.9252250801868,331.1028124782795,364.2027964247303,338.3743722547319,301.06043914458434,335.17636346841573,936.195587358377,2429.9276672694377,374.55246488570657,459.2341240515017,12,44,7,2,5,506,21.936758893280633
2020-09-17 00:00:00,3729,2828,626,275,61,49.142857142857146,44,0,7,37,2,12,2,168.2231093086485,290.5256837067189,448.9219680739081,324.78405651495353,360.4940103104255,335.5128553646285,296.01473346059686,333.8567714862566,927.2510435301123,2418.6256781193474,366.8410906086479,451.94799787661384,8,25,7,0,4,462,23.593073593073594
2020-09-16 00:00:00,3685,2807,605,273,42,45.42857142857143,55,0,8,47,,12,,163.67653878679315,280.81205902351553,438.3955219259682,322.88842972595575,358.2687386418426,334.08209691957677,294.3328315659344,332.5371795040975,927.2510435301123,2418.6256781193474,364.417515835858,445.28639680243066,14,21,8,1,11,441,24.71655328798186
2020-09-15 00:00:00,3630,2772,585,273,44,41.714285714285715,55,0,14,41,1,13,1,155.49271184745348,272.8645479190764,429.72668392178235,316.5696737626298,353.0764380818159,331.22058002947335,293.49188061860315,332.5371795040975,924.2695289206907,2418.6256781193474,358.90939135224465,439.04114579538395,17,14,13,0,11,421,23.990498812351543
2020-09-14 00:00:00,3575,2749,554,272,59,38.714285714285715,55,0,19,36,,12,1,150.03682722122704,266.68315039340155,421.0578459175965,315.3059225699646,347.8841375217892,327.64368391684405,290.1280768292782,325.9392195933019,918.3064997018475,2384.719710669076,354.06224180666493,432.3795447212008,18,10,19,0,8,402,24.129353233830848
2020-09-13 00:00:00,3520,2732,518,270,31,34.42857142857143,32,0,5,27,1,12,1,146.39957080374276,257.8525824995803,415.48502148633423,310.25091779930386,340.46656529317966,322.63602935916305,290.1280768292782,319.34125968250635,912.3434704830044,2384.719710669076,348.33379234370705,426.34246874772225,12,8,5,2,5,383,23.759791122715406
2020-09-12 00:00:00,3488,2710,510,268,47,33.714285714285715,45,0,5,40,1,13,,142.76231438625848,255.2034121314339,409.91219705507194,306.4596642213083,337.49953640173584,321.20527091411134,288.4461749346157,318.0216677003472,909.3619558735828,2384.719710669076,345.68989259157263,422.17896807635776,21,7,5,0,12,369,24.119241192411923
2020-09-11 00:00:00,3443,2690,486,267,60,29.428571428571427,32,0,5,27,,13,1,140.03437207314525,252.55424176328754,398.7665481925473,298.87715706531714,336.0160219560139,318.3437540240079,286.76427303995325,318.0216677003472,909.3619558735828,2373.4177215189857,340.18176810795933,418.0154674049933,12,6,5,2,7,346,23.121387283236995
2020-09-10 00:00:00,3411,2676,468,267,35,24.142857142857142,77,0,24,53,2,14,2,134.5784874469188,249.02201460575904,392.5745210467003,295.08590348732156,335.27426473315296,316.19761635643033,285.0823711452908,318.0216677003472,909.3619558735828,2373.4177215189857,336.4362434591023,414.8928419014699,19,20,23,0,15,340,22.941176470588236
2020-09-09 00:00:00,3334,2660,407,267,16,22.571428571428573,41,0,10,31,,13,1,132.75985923817666,237.5422763437914,382.66727761334505,288.13527192766304,329.3402069502653,311.90534102127515,278.3547635666408,307.4649318430743,903.3989266547396,2339.5117540687143,327.8435692646655,406.9821906258774,18,5,10,2,6,297,21.21212121212121
