ï»¿Report_Data_Extracted,PHU_Num,PHU,LTC_Homes_with_Active_Outbreak,LTC_Homes_with_Resolved_Outbreak,Confirmed_Active_LTC_Resident_Cases,Confirmed_Active_LTC_HCW_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Deaths
2020-04-24,2226.0,ALGOMA,0,0,0.0,0.0,0.0,0.0
2020-04-24,2227.0,BRANT,2,0,28.0,34.0,23.0,0.0
2020-04-24,2230.0,DURHAM,7,1,243.0,88.0,71.0,0.0
2020-04-24,2233.0,GREY-BRUCE,2,0,22.0,7.0,0.0,0.0
2020-04-24,2234.0,HALDIMAND-NORFOLK,0,1,0.0,0.0,0.0,0.0
2020-04-24,2235.0,HALIBURTON KAWARTHA PR,1,0,33.0,32.0,29.0,0.0
2020-04-24,2236.0,HALTON,4,1,2.0,4.0,0.0,0.0
2020-04-24,2237.0,HAMILTON,3,2,13.0,3.0,4.0,0.0
2020-04-24,2238.0,HASTINGS PRINCE EDWARD,2,1,10.0,5.0,0.0,0.0
2020-04-24,2240.0,CHATHAM-KENT,0,0,0.0,0.0,0.0,0.0
2020-04-24,2241.0,KINGSTON FRONTENAC L & A,1,0,1.0,0.0,0.0,0.0
2020-04-24,2242.0,LAMBTON,2,0,0.0,3.0,0.0,0.0
2020-04-24,2243.0,"LEEDS,GRENVILLE,LANARK",3,0,94.0,32.0,30.0,0.0
2020-04-24,2244.0,MIDDLESEX-LONDON,4,3,15.0,10.0,8.0,0.0
2020-04-24,2246.0,NIAGARA,4,3,44.0,30.0,10.0,0.0
2020-04-24,2247.0,NORTH BAY-PARRY SOUND,0,0,0.0,0.0,0.0,0.0
2020-04-24,2249.0,NORTHWESTERN,0,0,0.0,0.0,0.0,0.0
2020-04-24,2251.0,OTTAWA,11,1,145.0,76.0,33.0,0.0
2020-04-24,2253.0,PEEL,14,0,296.0,112.0,29.0,0.0
2020-04-24,2255.0,PETERBOROUGH,1,1,4.0,2.0,0.0,0.0
2020-04-24,2256.0,PORCUPINE,0,1,0.0,0.0,0.0,0.0
2020-04-24,2257.0,RENFREW,0,1,0.0,0.0,0.0,0.0
2020-04-24,2258.0,EASTERN ONTARIO,4,0,0.0,6.0,0.0,0.0
2020-04-24,2260.0,SIMCOE-MUSKOKA,3,1,20.0,12.0,7.0,0.0
2020-04-24,2261.0,SUDBURY,1,0,1.0,1.0,0.0,0.0
2020-04-24,2262.0,THUNDER BAY,0,0,0.0,0.0,0.0,0.0
2020-04-24,2263.0,TIMISKAMING,0,0,0.0,0.0,0.0,0.0
2020-04-24,2265.0,WATERLOO,5,3,165.0,90.0,27.0,0.0
2020-04-24,2266.0,WELLINGTON-DUFFERIN-GUELPH,4,1,22.0,10.0,6.0,0.0
2020-04-24,2268.0,WINDSOR-ESSEX,4,3,68.0,27.0,20.0,0.0
2020-04-24,2270.0,YORK REGION,12,1,140.0,59.0,34.0,0.0
2020-04-24,3895.0,TORONTO,49,5,1086.0,469.0,292.0,1.0
2020-04-24,4913.0,SOUTH WEST,1,0,0.0,1.0,0.0,0.0
2020-04-24,5183.0,Huron Perth,1,1,3.0,7.0,2.0,0.0
2020-04-25,2226.0,ALGOMA,0,0,0.0,0.0,0.0,0.0
2020-04-25,2227.0,BRANT,2,0,28.0,34.0,23.0,0.0
2020-04-25,2230.0,DURHAM,7,1,224.0,88.0,75.0,0.0
2020-04-25,2233.0,GREY-BRUCE,2,0,22.0,7.0,0.0,0.0
2020-04-25,2234.0,HALDIMAND-NORFOLK,0,1,0.0,0.0,0.0,0.0
2020-04-25,2235.0,HALIBURTON KAWARTHA PR,1,0,33.0,32.0,29.0,0.0
2020-04-25,2236.0,HALTON,4,1,2.0,4.0,0.0,0.0
2020-04-25,2237.0,HAMILTON,3,2,13.0,3.0,4.0,0.0
2020-04-25,2238.0,HASTINGS PRINCE EDWARD,2,1,10.0,5.0,0.0,0.0
2020-04-25,2240.0,CHATHAM-KENT,0,0,0.0,0.0,0.0,0.0
2020-04-25,2241.0,KINGSTON FRONTENAC L & A,1,0,1.0,0.0,0.0,0.0
2020-04-25,2242.0,LAMBTON,2,0,0.0,3.0,0.0,0.0
2020-04-25,2243.0,"LEEDS,GRENVILLE,LANARK",3,0,94.0,32.0,30.0,0.0
2020-04-25,2244.0,MIDDLESEX-LONDON,4,3,15.0,10.0,8.0,0.0
2020-04-25,2246.0,NIAGARA,4,3,44.0,30.0,10.0,0.0
2020-04-25,2247.0,NORTH BAY-PARRY SOUND,0,0,0.0,0.0,0.0,0.0
2020-04-25,2249.0,NORTHWESTERN,0,0,0.0,0.0,0.0,0.0
2020-04-25,2251.0,OTTAWA,11,1,172.0,94.0,34.0,0.0
2020-04-25,2253.0,PEEL,14,0,298.0,113.0,29.0,0.0
2020-04-25,2255.0,PETERBOROUGH,1,1,4.0,2.0,0.0,0.0
